node	node_description	total_entries	total_annotated	rank	gene_name	count
phyparts_dup.dupl.10	SAS13/MECR2	136	136	1	EMBRYO DEFECTIVE 1381	24
phyparts_dup.dupl.10	SAS13/MECR2	136	136	2	ENOYL REDUCTASE (ER) DOMAIN-CONTAINING PROTEIN	13
phyparts_dup.dupl.10	SAS13/MECR2	136	136	3	GLUTAMATE RECEPTOR 3.3	13
phyparts_dup.dupl.10	SAS13/MECR2	136	136	4	VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 54, CHLOROPLASTIC-LIKE ISOFORM X1	12
phyparts_dup.dupl.10	SAS13/MECR2	136	136	5	PROTEIN SPA1-RELATED 2	10
phyparts_dup.dupl.10	SAS13/MECR2	136	136	6	ALBINO3-LIKE PROTEIN 2, CHLOROPLASTIC	9
phyparts_dup.dupl.10	SAS13/MECR2	136	136	7	PHOSPHOMEVALONATE KINASE	8
phyparts_dup.dupl.10	SAS13/MECR2	136	136	8	LARGE RIBOSOMAL SUBUNIT PROTEIN UL4 C-TERMINAL DOMAIN-CONTAINING PROTEIN	8
phyparts_dup.dupl.10	SAS13/MECR2	136	136	9	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	8
phyparts_dup.dupl.10	SAS13/MECR2	136	136	10	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 53-LIKE	7
phyparts_dup.dupl.11	Core Ruschioideae	285	285	1	O-METHYLTRANSFERASE FAMILY PROTEIN	15
phyparts_dup.dupl.11	Core Ruschioideae	285	285	2	2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE SUPERFAMILY PROTEIN	14
phyparts_dup.dupl.11	Core Ruschioideae	285	285	3	AMINOTRANSFERASE, CLASSES I AND II FAMILY PROTEIN, EXPRESSED	11
phyparts_dup.dupl.11	Core Ruschioideae	285	285	4	PEPTIDYL SERINE ALPHA-GALACTOSYLTRANSFERASE	10
phyparts_dup.dupl.11	Core Ruschioideae	285	285	5	UDP-GLYCOSYLTRANSFERASE 76B1-LIKE	10
phyparts_dup.dupl.11	Core Ruschioideae	285	285	6	UDP-GLUCOSYL TRANSFERASE 73B2-RELATED	10
phyparts_dup.dupl.11	Core Ruschioideae	285	285	7	TRANSCRIPTION FACTOR AS1	9
